track_name,role,role_detail,person,is_primary
Geto Heaven,recorder,recorder,Russell Elevado,True
Geto Heaven,recorder,assistant_recorder,Mike Tocci,True
Geto Heaven,mixer,mixers,?uestlove,True
Geto Heaven,mixer,mixers,Russell Elevado,False
Geto Heaven,mixer,assistant_mixer,Steve Mandel,True
Pops Rap III... All My Children,producer,producer,Karriem Riggins,True
Pops Rap III... All My Children,writer,writer,Karriem Riggins,True
Pops Rap III... All My Children,writer,writer,A. Scott,False
Pops Rap III... All My Children,writer,writer,Erykah Badu,False
Pops Rap III... All My Children,writer,writer,"Lonnie ""Pops"" Lynn",False
Pops Rap III... All My Children,instrumentalist,lead_vocals,"Lonnie ""Pops"" Lynn",True
Pops Rap III... All My Children,instrumentalist,bass_guitar,Richie Goods,True
Pops Rap III... All My Children,instrumentalist,drums,Karriem Riggins,True
Pops Rap III... All My Children,instrumentalist,vibes,Stephon Harris,True
Pops Rap III... All My Children,instrumentalist,trumpet,Dwight Adams,True
Pops Rap III... All My Children,instrumentalist,trombone,John Paxton,True
Pops Rap III... All My Children,instrumentalist,keyboard,Orrin Evans,True
Pops Rap III... All My Children,recorder,recorder,John Seymour,True
Pops Rap III... All My Children,mixer,mixer,Bob Power,True
Pops Rap III... All My Children,mixer,assistant_mixer,Mike Tocci,True
The 6th Sense,producer,producer,DJ Premier,True
The 6th Sense,writer,writer,Common,True
The 6th Sense,writer,writer,Bilal,False
The 6th Sense,writer,writer,Prodigy,False
The 6th Sense,writer,writer,Havoc,False
The 6th Sense,writer,writer,DJ Premier,False
The 6th Sense,instrumentalist,lead_vocals,Common,True
The 6th Sense,instrumentalist,background_vocals,Bilal,True
The 6th Sense,recorder,recorder,Dexter Thibou,True
The 6th Sense,mixer,mixer,Eddie Sancho,True
The 6th Sense,mixer,assistant_mixer,Dexter Thibou,True
Nag Champa (Afrodisiac for the World),producer,producer,J Dilla,True
Nag Champa (Afrodisiac for the World),writer,writer,Common,True
Nag Champa (Afrodisiac for the World),writer,writer,J Dilla,False
Nag Champa (Afrodisiac for the World),instrumentalist,lead_vocals,Common,True
Nag Champa (Afrodisiac for the World),instrumentalist,background_vocals,J Dilla,True
Nag Champa (Afrodisiac for the World),instrumentalist,additional_vocals,T3,True
Nag Champa (Afrodisiac for the World),instrumentalist,additional_vocals,Baatin,False
Nag Champa (Afrodisiac for the World),instrumentalist,guitar,Jef Lee Johnson,True
Nag Champa (Afrodisiac for the World),instrumentalist,handclaps,Baatin,True
Nag Champa (Afrodisiac for the World),instrumentalist,handclaps,T3,False
Nag Champa (Afrodisiac for the World),recorder,recorder,Todd Fairall,True
Nag Champa (Afrodisiac for the World),recorder,assistant_recorders,Dylan Koski-Budabin,True
Nag Champa (Afrodisiac for the World),recorder,assistant_recorders,Nick Hura,False
Nag Champa (Afrodisiac for the World),mixer,mixer,Bob Power,True
Heat,producer,producer,J Dilla,True
Heat,instrumentalist,lead_vocals,J Dilla,True
Heat,instrumentalist,lead_vocals,Common,False
Heat,instrumentalist,additional_vocals,J Dilla,True
Heat,recorder,recorder,Todd Fairall,True
Heat,recorder,assistant_recorder,Jason Hofer,True
Heat,mixer,mixer,Bob Power,True
Heat,mixer,assistant_mixer,Steve Mandel,True
Dooinit,producer,producer,J Dilla,True
Dooinit,writer,writer,Common,True
Dooinit,writer,writer,J Dilla,False
Dooinit,instrumentalist,lead_vocals,Common,True
Dooinit,recorder,recorder,Todd Fairall,True
Dooinit,recorder,assistant_recorder,Nick Hura,True
Dooinit,mixer,mixer,Bob Power,True
Dooinit,mixer,assistant_mixer,Steve Mandel,True
